timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694439381259,30,HTTP Request Delete project,200,OK,Thread Group - API requests 2-16,text,true,,234,435,2,2,http://localhost/jsonrpc.php,30,0,0
1694439381284,31,HTTP Request Create Project,200,OK,Thread Group - API requests 2-18,text,true,,235,458,1,1,http://localhost/jsonrpc.php,31,0,3
1694439381317,20,HTTP Request Delete project,200,OK,Thread Group - API requests 2-18,text,true,,234,435,1,1,http://localhost/jsonrpc.php,20,0,0
1694439381380,25,HTTP Request Create Project,200,OK,Thread Group - API requests 2-19,text,true,,235,458,1,1,http://localhost/jsonrpc.php,25,0,2
1694439381407,29,HTTP Request Delete project,200,OK,Thread Group - API requests 2-19,text,true,,234,435,1,1,http://localhost/jsonrpc.php,29,0,0
1694439381481,32,HTTP Request Create Project,200,OK,Thread Group - API requests 2-20,text,true,,235,458,1,1,http://localhost/jsonrpc.php,32,0,2
1694439381515,24,HTTP Request Delete project,200,OK,Thread Group - API requests 2-20,text,true,,234,435,1,1,http://localhost/jsonrpc.php,24,0,0
1694439381583,23,HTTP Request Create Project,200,OK,Thread Group - API requests 2-21,text,true,,235,458,1,1,http://localhost/jsonrpc.php,23,0,2
1694439381607,20,HTTP Request Delete project,200,OK,Thread Group - API requests 2-21,text,true,,234,435,1,1,http://localhost/jsonrpc.php,19,0,0
1694439381676,26,HTTP Request Create Project,200,OK,Thread Group - API requests 2-22,text,true,,235,458,1,1,http://localhost/jsonrpc.php,26,0,3
1694439381704,26,HTTP Request Delete project,200,OK,Thread Group - API requests 2-22,text,true,,234,435,1,1,http://localhost/jsonrpc.php,26,0,0
1694439381779,36,HTTP Request Create Project,200,OK,Thread Group - API requests 2-23,text,true,,235,458,1,1,http://localhost/jsonrpc.php,36,0,3
1694439381816,26,HTTP Request Delete project,200,OK,Thread Group - API requests 2-23,text,true,,234,435,1,1,http://localhost/jsonrpc.php,26,0,0
1694439381892,34,HTTP Request Create Project,200,OK,Thread Group - API requests 2-24,text,true,,235,458,1,1,http://localhost/jsonrpc.php,34,0,3
1694439381927,52,HTTP Request Delete project,200,OK,Thread Group - API requests 2-24,text,true,,234,435,1,1,http://localhost/jsonrpc.php,52,0,0
1694439382029,50,HTTP Request Create Project,200,OK,Thread Group - API requests 2-25,text,true,,235,458,1,1,http://localhost/jsonrpc.php,49,0,4
1694439382080,29,HTTP Request Delete project,200,OK,Thread Group - API requests 2-25,text,true,,234,435,2,2,http://localhost/jsonrpc.php,29,0,0
1694439382083,49,HTTP Request Create Project,200,OK,Thread Group - API requests 2-26,text,true,,235,458,1,1,http://localhost/jsonrpc.php,49,0,3
1694439382134,35,HTTP Request Delete project,200,OK,Thread Group - API requests 2-26,text,true,,234,435,1,1,http://localhost/jsonrpc.php,35,0,0
1694439382181,41,HTTP Request Create Project,200,OK,Thread Group - API requests 2-27,text,true,,235,458,1,1,http://localhost/jsonrpc.php,41,0,3
1694439382224,36,HTTP Request Delete project,200,OK,Thread Group - API requests 2-27,text,true,,234,435,1,1,http://localhost/jsonrpc.php,36,0,0
